title,overview,release_date,Year,Month,Day,vote_average,vote_count,popularity,production_companies,runtime,budget,revenue,profit,ROI,genres,Action,Adventure,Science Fiction,Drama,Thriller,Comedy,Animation,Fantasy,Horror,Romance,Mystery,Documentary,Music,Western,Crime
Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,2010,7,15,8.364,34529,86.51,"['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']",148,160,825,665,4.2,"['Action', 'Science Fiction', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",2010-02-14,2010,2,14,8.2,22341,52.881,"['Phoenix Pictures', 'Paramount', 'Appian Way', 'Sikelia Productions', 'Mandate International']",138,80,294,214,2.7,"['Drama', 'Thriller', 'Mystery']",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",2010-04-28,2010,4,28,6.834,19768,73.617,"['Marvel Studios', 'Fairview Entertainment']",124,200,623,423,2.1,"['Adventure', 'Action', 'Science Fiction']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",2010-11-17,2010,11,17,7.764,17800,104.424,"['Warner Bros. Pictures', 'Heyday Films']",146,250,954,704,2.8,"['Adventure', 'Fantasy']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",2010-07-08,2010,7,8,7.228,14158,56.41,"['Illumination', 'Universal Pictures']",95,69,533,464,6.7,"['Family', 'Animation', 'Comedy']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",2010-06-16,2010,6,16,7.792,13791,60.254,"['Pixar', 'Walt Disney Pictures']",103,200,1066,866,4.3,"['Animation', 'Family', 'Comedy']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Black Swan,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,2010-12-03,2010,12,3,7.673,13576,30.719,"['Fox Searchlight Pictures', 'Cross Creek Pictures', 'Protozoa Pictures', 'Phoenix Pictures']",108,13,329,316,24.3,"['Drama', 'Thriller', 'Horror']",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Alice in Wonderland,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",2010-03-03,2010,3,3,6.627,13162,52.502,"['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions', 'The Zanuck Company']",108,200,1025,825,4.1,"['Family', 'Fantasy', 'Adventure']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
How to Train Your Dragon,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",2010-03-18,2010,3,18,7.813,12101,50.788,"['DreamWorks Animation', 'Paramount']",98,165,494,329,2.0,"['Fantasy', 'Adventure', 'Animation', 'Family']",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
The Social Network,"The tale of a new breed of cultural insurgent: a punk genius who sparked a revolution and changed the face of human interaction for a generation, and perhaps forever.",2010-10-01,2010,10,1,7.358,11202,44.149,"['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']",121,40,224,184,4.6,['Drama'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",2010-03-22,2010,3,22,7.12,11005,30.203,"['Marv Films', 'Lionsgate', 'Plan B Entertainment', 'Mandate International']",117,28,96,68,2.4,"['Action', 'Crime']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010-11-24,2010,11,24,7.6,10555,86.221,"['Walt Disney Animation Studios', 'Walt Disney Pictures']",100,260,592,332,1.3,"['Animation', 'Family']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",2010-06-23,2010,6,23,6.215,8229,59.064,"['Summit Entertainment', 'Temple Hill Entertainment', 'Imprint Entertainment', 'Maverick Films', 'Sunswept Entertainment']",124,68,698,630,9.3,"['Adventure', 'Fantasy', 'Drama', 'Romance']",0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
The King's Speech,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",2010-11-26,2010,11,26,7.74,8154,24.441,"['The Weinstein Company', 'UK Film Council', 'Momentum Pictures', 'Aegis Film Fund', 'Molinare Investment', 'FilmNation Entertainment', 'See-Saw Films', 'Bedlam Productions']",118,15,414,399,26.6,"['Drama', 'History']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Expendables,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert Yin Yang, heavy weapons specialist Hale Caesar, demolitionist Toll Road, and a loose-cannon sniper Gunner Jensen. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",2010-08-03,2010,8,3,6.228,7233,78.31,"['Nimar Studios', 'Rogue Marble', 'Millennium Media', 'Nu Image', 'Lionsgate', 'Thunder Road']",103,80,274,194,2.4,"['Thriller', 'Adventure', 'Action']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Scott Pilgrim vs. the World,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",2010-08-12,2010,8,12,7.47,7161,47.584,"['Marc Platt Productions', 'Big Talk Productions', 'Closed on Mondays Entertainment', 'dentsu']",113,85,48,-37,-0.4,"['Action', 'Comedy', 'Romance']",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
127 Hours,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,2010-11-12,2010,11,12,7.068,7018,24.843,"['Fox Searchlight Pictures', 'Pathé', 'Everest Entertainment', 'HandMade Films', 'Film4 Productions', 'Cloud Eight Films', 'Dune Entertainment']",94,18,35,17,1.0,"['Adventure', 'Drama', 'Thriller']",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Percy Jackson & the Olympians: The Lightning Thief,"Accident prone teenager, Percy discovers he's actually a demi-God, the son of Poseidon, and he is needed when Zeus' lightning is stolen. Percy must master his new found skills in order to prevent a war between the Gods that could devastate the entire world.",2010-02-01,2010,2,1,6.2,6971,58.895,"['1492 Pictures', 'Sunswept Entertainment', 'Dune Entertainment']",118,95,226,131,1.4,"['Adventure', 'Fantasy', 'Family']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Shrek Forever After,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",2010-05-16,2010,5,16,6.352,6763,79.352,"['DreamWorks Animation', 'Paramount']",93,165,752,587,3.6,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
TRON: Legacy,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",2010-12-14,2010,12,14,6.46,6653,37.543,"['Walt Disney Pictures', 'Sean Bailey Productions']",125,170,400,230,1.4,"['Adventure', 'Action', 'Science Fiction']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Easy A,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",2010-09-16,2010,9,16,6.81,6489,24.957,"['Screen Gems', 'Olive Bridge Entertainment']",93,8,75,67,8.4,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Prince of Persia: The Sands of Time,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",2010-05-19,2010,5,19,6.261,6339,34.747,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",116,200,336,136,0.7,"['Adventure', 'Fantasy', 'Action']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Megamind,"After Megamind, a highly intelligent alien supervillain, defeats his long-time nemesis Metro Man, Megamind creates a new hero to fight, but must act to save the city when his ""creation"" becomes an even worse villain than he was.",2010-10-28,2010,10,28,6.962,6295,48.129,"['DreamWorks Animation', 'Pacific Data Images']",96,130,321,191,1.5,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
RED,"After surviving an assault from a squad of hit men, retired CIA black ops agent Frank Moses reassembles his old team for an all-out war. Frank reunites with old Joe, crazy Marvin and wily Victoria to uncover a massive conspiracy that threatens their lives. Only their expert training will allow them to survive a near-impossible mission -- breaking into CIA headquarters.",2010-10-13,2010,10,13,6.685,6287,32.396,"['di Bonaventura Pictures', 'DC Comics', 'Summit Entertainment']",111,58,199,141,2.4,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
Clash of the Titans,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",2010-03-26,2010,3,26,5.882,5867,36.74,"['The Zanuck Company', 'Legendary Pictures', 'Thunder Road', 'Moving Picture Company', 'Warner Bros. Pictures']",106,125,493,368,2.9,"['Adventure', 'Fantasy', 'Action']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
The Book of Eli,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",2010-01-14,2010,1,14,6.781,5641,26.322,"['Alcon Entertainment', 'Silver Pictures']",118,80,157,77,1.0,"['Action', 'Thriller', 'Science Fiction']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Grown Ups,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",2010-06-24,2010,6,24,6.36,5582,57.395,"['Columbia Pictures', 'Relativity Media', 'Sony Pictures', 'Happy Madison Productions']",102,80,271,191,2.4,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Karate Kid,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",2010-06-10,2010,6,10,6.527,5551,38.813,"['Jerry Weintraub Productions', 'Columbia Pictures', 'China Film Group', 'Overbrook Entertainment', 'Sony Pictures', 'Zwart Arbeid']",140,40,359,319,8.0,"['Action', 'Adventure', 'Drama', 'Family']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",2010-12-02,2010,12,2,6.4,5198,40.335,"['Fox 2000 Pictures', 'Walden Media']",113,155,415,260,1.7,"['Adventure', 'Family', 'Fantasy']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Salt,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",2010-07-21,2010,7,21,6.398,5113,34.395,"['Wintergreen Productions', 'Columbia Pictures', 'Relativity Media', 'di Bonaventura Pictures']",100,110,293,183,1.7,"['Action', 'Mystery', 'Thriller']",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Tourist,"American tourist Frank meets mysterious British woman Elsie on the train to Venice. Romance seems to bud, but there's more to her than meets the eye.",2010-12-08,2010,12,8,6.177,5100,21.178,"['Columbia Pictures', 'Spyglass Entertainment', 'Peninsula Films', 'StudioCanal', 'GK Films', 'Cineroma SRL', 'Mandate International']",103,100,278,178,1.8,"['Action', 'Thriller', 'Romance']",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Due Date,"Peter Highman must scramble across the US in five days to be present for the birth of his first child. He gets off to a bad start when his wallet and luggage are stolen, and put on the 'no-fly' list. Peter embarks on a terrifying journey when he accepts a ride from an actor.",2010-11-03,2010,11,3,6.35,5044,19.525,"['Legendary Pictures', 'Green Hat Films', 'Warner Bros. Pictures']",95,65,211,146,2.3,"['Comedy', 'Drama']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
True Grit,"Following the murder of her father by a hired hand, a 14-year-old farm girl sets out to capture the killer. To aid her, she hires the toughest U.S. Marshal she can find—a man with 'true grit'—Reuben J. 'Rooster' Cogburn.",2010-12-22,2010,12,22,7.301,4893,27.133,"['Paramount', 'Scott Rudin Productions', 'Mike Zoss Productions', 'Skydance']",110,38,252,214,5.6,"['Drama', 'Adventure', 'Western']",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Love & Other Drugs,"Maggie is an alluring free spirit who won't let anyone – or anything – tie her down. But she meets her match in Jamie, whose relentless and nearly infallible charm serves him well with the ladies and the cutthroat world of pharmaceutical sales. Maggie and Jamie's evolving relationship takes them both by surprise, as they find themselves under the influence of the ultimate drug: love.",2010-11-22,2010,11,22,7.037,4722,33.274,"['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Stuber Productions', 'Bedford Falls Productions', 'Dune Entertainment', '20th Century Fox']",112,30,102,72,2.4,"['Drama', 'Comedy', 'Romance']",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
The Sorcerer's Apprentice,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",2010-07-13,2010,7,13,6.107,4640,32.204,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions', 'Junction Entertainment']",109,150,215,65,0.4,"['Fantasy', 'Adventure', 'Action']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
The Town,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",2010-09-15,2010,9,15,7.2,4619,34.546,"['Legendary Pictures', 'GK Films', 'Thunder Road', 'Warner Bros. Pictures']",125,37,154,117,3.2,"['Crime', 'Drama', 'Thriller']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
The A-Team,"A group of Iraq War veterans goes on the run from U.S. military forces while they try to clear their names after being framed for a crime they didn't commit. Along the way, Col. Hannibal Smith, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck help out various people they encounter.",2010-06-09,2010,6,9,6.4,4313,35.136,"['Phoenix Film Partners', 'Dune Entertainment', 'Stephen J. Cannell Productions', 'Top Cow Productions', 'Scott Free Productions', 'Big Screen Productions', '20th Century Fox', 'Ingenious Media']",117,110,177,67,0.6,"['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']",1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
Robin Hood,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",2010-05-12,2010,5,12,6.389,4270,29.924,"['Scott Free Productions', 'Imagine Entertainment', 'Relativity Media']",140,200,321,121,0.6,"['Action', 'Adventure', 'Drama']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Knight and Day,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",2010-06-15,2010,6,15,6.194,4144,29.642,"['Pink Machine', 'Tree Line Films', 'Dune Entertainment', 'Regency Enterprises', '20th Century Fox']",109,117,261,144,1.2,"['Action', 'Comedy']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Fighter,"Boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",2010-12-10,2010,12,10,7.381,4030,17.597,"['Paramount', 'The Weinstein Company', 'Relativity Media', 'Mandeville Films', 'Closest to the Hole Productions', 'Rogue Pictures', 'Protozoa Pictures']",116,25,93,68,2.7,['Drama'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dear John,"While Sergeant John Tyree is home on two weeks leave from Germany, he meets Savannah after he dives into the ocean to retrieve Savannah's purse that had fallen off a pier. John eventually falls in love with Savannah, who promises to write to him until he returns from overseas.",2010-02-04,2010,2,4,6.834,3929,23.941,"['Screen Gems', 'Relativity Media', 'Temple Hill Entertainment']",108,25,114,89,3.6,"['Drama', 'Romance', 'War']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Other Guys,"Unlike their heroic counterparts on the force, desk-bound NYPD detectives Gamble and Hoitz garner no headlines as they work day to day. When a seemingly minor case turns out to be a big deal, the two cops get the opportunity to finally prove to their comrades that they have the right stuff.",2010-08-06,2010,8,6,6.296,3834,29.061,"['Columbia Pictures', 'Gary Sanchez Productions', 'Mosaic Media Group']",107,100,170,70,0.7,"['Action', 'Comedy', 'Crime']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Predators,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,2010-07-03,2010,7,3,6.244,3738,48.759,"['Davis Entertainment', '20th Century Fox', 'Dune Entertainment', 'Troublemaker Studios']",107,40,127,87,2.2,"['Science Fiction', 'Action', 'Thriller']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Last Airbender,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",2010-06-30,2010,6,30,4.664,3681,31.866,"['Paramount', 'Nickelodeon Movies', 'Blinding Edge Pictures', 'Industrial Light & Magic', 'The Kennedy/Marshall Company']",103,150,319,169,1.1,"['Action', 'Adventure', 'Fantasy']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Resident Evil: Afterlife,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.",2010-09-09,2010,9,9,6.042,3535,1.696,"['Screen Gems', 'Constantin Film', 'Davis Films/Impact Pictures']",97,60,300,240,4.0,"['Action', 'Adventure', 'Horror', 'Science Fiction']",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Remember Me,"Still reeling from a heartbreaking family event and his parents' subsequent divorce, Tyler Hawkins discovers a fresh lease on life when he meets Ally Craig, a gregarious beauty who witnessed her mother's death. But as the couple draws closer, the fallout from their separate tragedies jeopardizes their love.",2010-03-11,2010,3,11,7.102,3368,31.83,['Summit Entertainment'],113,16,56,40,2.5,"['Drama', 'Romance']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Unstoppable,"A runaway train, transporting deadly, toxic chemicals, is barreling down on Stanton, Pennsylvania,  and proves to be unstoppable until a veteran engineer and young conductor risk their lives to try and stop it with a switch engine.",2010-11-04,2010,11,4,6.562,3228,21.077,"['Prospect Park', 'Scott Free Productions', 'Firm Films', 'Millbrook Farm Productions', '20th Century Fox']",98,100,167,67,0.7,"['Action', 'Thriller']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Last Song,"A drama centered on a rebellious girl who is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.",2010-03-31,2010,3,31,7.238,3195,13.511,"['Touchstone Pictures', 'HopeTown Entertainment']",107,20,89,69,3.5,"['Drama', 'Family', 'Romance']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Machete,"After being set-up and betrayed by the man who hired him to assassinate a Texas Senator, an ex-Federale launches a brutal rampage of revenge against his former boss.",2010-09-01,2010,9,1,6.338,3045,25.458,"['Overnight Films', 'Troublemaker Studios']",105,20,45,25,1.3,"['Action', 'Comedy', 'Thriller']",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Little Fockers,"It has taken 10 years, two little Fockers with wife Pam and countless hurdles for Greg to finally get in with his tightly wound father-in-law, Jack. After the cash-strapped dad takes a job moonlighting for a drug company, Jack's suspicions about his favorite male nurse come roaring back. When Greg and Pam's entire clan descends for the twins' birthday party, Greg must prove to the skeptical Jack that he's fully capable as the man of the house.",2010-12-21,2010,12,21,5.64,3032,21.817,"['Universal Pictures', 'Paramount', 'Relativity Media', 'Tribeca Productions', 'Everyman Pictures', 'DreamWorks Pictures']",98,100,310,210,2.1,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Blue Valentine,"Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.",2010-12-16,2010,12,16,6.947,2978,18.897,"['Cottage Industries', 'Incentive Filmed Entertainment', 'Silverwood Films', 'Hunting Lane Films', 'Chrysler Corporation', 'Shade Pictures', 'Motel Movies']",112,1,15,14,14.4,"['Drama', 'Romance']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Life As We Know It,"After a distastrous first date for caterer Holly and network sports director Messer, all they have is common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world, Holly and Messer must set their differences aside. Juggling careers and social calendars, they'll have to find common ground while living under the same roof.",2010-10-02,2010,10,2,6.91,2951,18.373,"['Josephson Entertainment', 'Gold Circle Films']",114,38,105,67,1.8,"['Comedy', 'Romance', 'Drama']",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Valentine's Day,"More than a dozen Angelenos navigate Valentine's Day from early morning until midnight. Three couples awake together, but each relationship will sputter. A grade-school boy wants flowers for his first true love. Two high school seniors plan first-time sex at noon. A TV sports reporter gets the assignment to find romance in LA. A star quarterback contemplates his future. Two strangers meet on a plane. Grandparents, together for years, face a crisis. An 'I Hate Valentine's Day' dinner beckons the lonely and the lied to.",2010-02-10,2010,2,10,5.905,2891,21.282,"['Karz Entertainment', 'New Line Cinema', 'Rice Films']",125,52,216,164,3.2,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Letters to Juliet,"An American girl on vacation in Italy finds an unanswered ""letter to Juliet"" -- one of thousands of missives left at the fictional lover's Verona courtyard, which are typically answered by the ""secretaries of Juliet"" -- and she goes on a quest to find the lovers referenced in the letter.",2010-05-13,2010,5,13,6.973,2720,29.459,"['Summit Entertainment', 'Applehead Pictures']",105,30,82,52,1.7,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Saw 3D,"As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror.",2010-10-22,2010,10,22,5.982,2672,139.51,"['Lionsgate', 'Twisted Pictures', 'Serendipity Productions', 'Mandate Pictures']",90,20,136,116,5.8,"['Horror', 'Crime']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
The Bounty Hunter,"A revered bounty hunter's latest gig is rather satisfying, as his bail-skipper is his ex-wife, who has no intention of getting nabbed without a fight.",2010-03-16,2010,3,16,5.838,2662,15.773,['Original Film'],110,40,136,96,2.4,"['Comedy', 'Action', 'Romance']",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Flipped,"When Juli meets Bryce in the second grade, she knows it's true love. After spending six years trying to convince Bryce the same, she's ready to give up - until he starts to reconsider.",2010-08-06,2010,8,6,7.98,2655,24.843,['Reiner / Greisman Productions'],89,14,1,-12,-0.9,"['Romance', 'Drama']",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Devil,"A group of people are trapped in an elevator high above Philadelphia, and one of them is the devil.",2010-09-16,2010,9,16,6.059,2653,17.198,"['Universal Pictures', 'MRC', 'Night Chronicles', 'Relativity Media']",80,10,33,23,2.4,"['Horror', 'Mystery', 'Thriller']",0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
