title,overview,release_date,Year,Month,Day,vote_average,vote_count,popularity,production_companies,runtime,budget,revenue,profit,ROI,genres,Action,Adventure,Science Fiction,Drama,Thriller,Comedy,Animation,Fantasy,Horror,Romance,Mystery,Documentary,Music,Western,Crime
Sausage Party,Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.,2016-07-11,2016,7,11,5.735,6792,41.237,"['Columbia Pictures', 'Annapurna Pictures', 'Point Grey Pictures', 'Nitrogen Studios Canada']",89,19,140,121,6.4,"['Adventure', 'Animation', 'Comedy', 'Fantasy']",0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
Sully,"On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the Hudson River, saving the lives of all 155 souls aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.",2016-09-07,2016,9,7,7.177,6689,24.793,"['Malpaso Productions', 'FilmNation Entertainment', 'Flashlight Films', 'Warner Bros. Pictures', 'RatPac Entertainment', 'The Kennedy/Marshall Company']",96,60,240,180,3.0,"['Drama', 'History']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Moonlight,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",2016-10-21,2016,10,21,7.393,6647,17.407,"['A24', 'Plan B Entertainment', 'PASTEL']",111,4,65,61,15.3,['Drama'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nerve,"Industrious high school senior Vee Delmonico has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.",2016-06-27,2016,6,27,7.045,6556,18.747,"['Lionsgate', 'Allison Shearmur Productions', 'Keep Your Head Productions']",96,19,85,66,3.5,"['Mystery', 'Adventure', 'Crime']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Warcraft,"The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",2016-05-25,2016,5,25,6.364,6351,28.205,"['Legendary Pictures', 'Universal Pictures', 'Atlas Entertainment', 'Blizzard Entertainment', 'Tencent Pictures', 'Fuji Television Network', 'dentsu', 'Huayi Brothers Pictures', 'Taihe Entertainment']",123,160,433,273,1.7,"['Action', 'Adventure', 'Fantasy']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Allegiant,Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,2016-03-09,2016,3,9,6.099,6231,26.033,"['Mandeville Films', 'Summit Entertainment', 'Lionsgate', 'Red Wagon Entertainment']",120,110,179,69,0.6,"['Adventure', 'Science Fiction', 'Action', 'Mystery']",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Star Trek Beyond,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",2016-07-07,2016,7,7,6.782,6229,36.239,"['Skydance', 'Paramount', 'Bad Robot', 'Perfect Storm Entertainment', 'Sneaky Shark']",122,185,343,158,0.9,"['Action', 'Adventure', 'Science Fiction']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Lion,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",2016-11-24,2016,11,24,8.084,6202,23.791,"['The Weinstein Company', 'See-Saw Films', 'Screen Australia', 'Aquarius Films', 'Sunstar Entertainment']",118,12,140,128,10.7,['Drama'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alice Through the Looking Glass,Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.,2016-05-25,2016,5,25,6.55,6030,35.114,"['Legend3D', 'Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions']",113,170,299,129,0.8,"['Adventure', 'Family', 'Fantasy']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Captain Fantastic,A father living in the forests of the Pacific Northwest with his six young kids tries to assimilate back into society.,2016-07-08,2016,7,8,7.913,6023,33.632,"['Electric City Entertainment', 'ShivHans Pictures']",118,5,23,18,3.6,"['Adventure', 'Drama']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
